imagem_id,box_index,area_px,area_640_px
04.05.2022-14-41-45,1,9752,1083.6
04.05.2022-14-43-13,0,24888,2765.3
04.05.2022-14-43-13,1,2400,266.7
04.05.2022-14-43-13,2,5530,614.4
04.05.2022-14-43-13,3,2162,240.2
04.05.2022-14-43-13,4,2250,250.0
04.05.2022-14-43-13,5,10640,1182.2
04.05.2022-14-45-31,0,27680,3075.6
04.05.2022-14-45-31,1,8687,965.2
04.05.2022-14-45-31,2,11340,1260.0
04.05.2022-14-45-31,3,5467,607.4
04.05.2022-14-45-31,4,6314,701.6
04.05.2022-14-45-31,5,7200,800.0
04.05.2022-14-45-31,6,38778,4308.7
04.05.2022-14-56-02,0,1200,133.3
04.05.2022-14-56-02,1,4520,502.2
04.05.2022-14-56-45,0,1825,202.8
04.05.2022-14-59-00,0,4284,476.0
04.05.2022-14-59-00,1,16005,1778.3
04.05.2022-14-59-00,2,14787,1643.0
04.05.2022-14-59-00,3,4218,468.7
04.05.2022-15-01-54,0,1160,128.9
04.05.2022-15-01-54,1,702,78.0
04.05.2022-15-01-54,2,7392,821.3
04.05.2022-15-04-56,0,2970,330.0
04.05.2022-15-04-56,1,2704,300.4
04.05.2022-15-04-56,2,1008,112.0
04.05.2022-15-04-56,3,493,54.8
04.05.2022-15-10-06,0,1700,188.9
04.05.2022-15-10-06,1,2205,245.0
04.05.2022-15-10-06,2,1944,216.0
04.05.2022-15-10-06,3,7040,782.2
04.05.2022-15-10-06,4,8874,986.0
04.05.2022-15-10-06,5,2379,264.3
04.05.2022-15-10-06,6,1944,216.0
04.05.2022-15-10-06,7,2296,255.1
04.05.2022-15-10-06,8,1088,120.9
04.05.2022-15-10-06,9,3960,440.0
04.05.2022-15-10-06,10,2028,225.3
04.05.2022-15-10-06,11,1320,146.7
04.05.2022-15-13-27,0,1440,160.0
04.05.2022-15-13-27,1,3337,370.8
04.05.2022-15-13-27,2,900,100.0
04.05.2022-15-13-27,3,1935,215.0
04.05.2022-15-13-27,4,2613,290.3
04.05.2022-15-13-27,5,5400,600.0
04.05.2022-15-13-27,6,1911,212.3
04.05.2022-15-13-27,7,1472,163.6
04.05.2022-15-13-27,8,805,89.4
04.05.2022-15-13-27,9,3876,430.7
04.05.2022-15-13-27,10,4444,493.8
04.05.2022-15-13-27,11,2009,223.2
04.05.2022-15-13-27,12,578,64.2
04.05.2022-15-13-27,13,8468,940.9
04.05.2022-15-18-49,0,2184,242.7
04.05.2022-15-18-49,1,1470,163.3
04.05.2022-15-20-13,0,3015,335.0
04.05.2022-15-20-13,1,10591,1176.8
04.05.2022-15-26-05,0,666,74.0
04.05.2022-15-26-05,1,1020,113.3
04.05.2022-15-26-31,0,2170,241.1
04.05.2022-15-26-31,1,1100,122.2
04.05.2022-15-26-31,2,798,88.7
04.05.2022-15-27-49,0,4320,480.0
04.05.2022-15-27-49,1,648,72.0
04.05.2022-15-27-49,2,1125,125.0
04.05.2022-15-27-49,3,1056,117.3
04.05.2022-15-27-49,4,1960,217.8
04.05.2022-15-32-10,0,7308,812.0
04.05.2022-15-32-10,1,9100,1011.1
04.05.2022-15-32-10,2,4130,458.9
04.05.2022-15-32-10,3,10857,1206.3
04.05.2022-15-33-00,0,7540,837.8
04.05.2022-15-33-00,1,3306,367.3
04.05.2022-15-33-00,2,9044,1004.9
04.05.2022-15-33-00,3,5670,630.0
04.05.2022-15-33-40,0,10763,1195.9
04.05.2022-15-33-40,1,4095,455.0
04.05.2022-15-50-50,0,3075,341.7
05.07.2022-08-37-18,0,47790,5310.0
05.07.2022-08-38-44,0,648,72.0
05.07.2022-08-38-44,1,9916,1101.8
05.07.2022-08-39-26,0,3744,416.0
05.07.2022-08-39-26,1,345,38.3
05.07.2022-08-40-19,0,1080,120.0
05.07.2022-08-42-08,0,20001,2222.3
05.07.2022-08-42-33,0,48151,5350.1
05.07.2022-08-42-52,0,12212,1356.9
05.07.2022-08-43-04,0,7412,823.6
05.07.2022-08-43-24,0,4100,455.6
05.07.2022-08-43-57,0,2948,327.6
05.07.2022-08-44-35,0,1728,192.0
05.07.2022-08-47-24,0,4256,472.9
05.07.2022-08-47-24,1,31553,3505.9
05.07.2022-08-48-40,0,2000,222.2
05.07.2022-08-48-40,1,11613,1290.3
05.07.2022-08-49-00,0,6820,757.8
05.07.2022-08-49-00,1,1287,143.0
05.07.2022-08-49-58,0,558,62.0
05.07.2022-08-49-58,1,1530,170.0
05.07.2022-08-50-15,0,912,101.3
05.07.2022-08-50-48,0,3920,435.6
05.07.2022-08-50-48,1,800,88.9
05.07.2022-08-53-43,0,21504,2389.3
05.07.2022-08-53-43,1,10452,1161.3
05.07.2022-08-54-10,0,4845,538.3
05.07.2022-08-54-10,1,8662,962.4
05.07.2022-08-54-37,0,5280,586.7
05.07.2022-08-54-37,1,3120,346.7
05.07.2022-08-55-31,0,2600,288.9
05.07.2022-08-55-31,1,1682,186.9
05.07.2022-09-00-23,0,14405,1600.6
05.07.2022-09-00-57,0,1386,154.0
05.07.2022-09-05-24,0,18135,2015.0
05.07.2022-09-05-49,0,12800,1422.2
05.07.2022-09-06-34,0,4998,555.3
05.07.2022-09-06-54,0,3526,391.8
05.07.2022-09-07-06,0,1885,209.4
05.07.2022-09-07-39,0,920,102.2
05.07.2022-09-31-40,0,13804,1533.8
05.07.2022-09-32-00,0,5040,560.0
05.07.2022-09-33-01,0,3024,336.0
05.07.2022-09-33-01,1,1365,151.7
05.07.2022-09-33-39,0,22788,2532.0
05.07.2022-09-34-17,1,6201,689.0
05.07.2022-09-35-39,0,25647,2849.7
05.07.2022-09-35-39,1,3740,415.6
05.07.2022-09-39-22,0,4332,481.3
05.07.2022-09-39-22,1,522,58.0
05.07.2022-09-39-22,3,432,48.0
05.07.2022-09-40-18,0,7772,863.6
05.07.2022-09-40-18,3,420,46.7
05.07.2022-09-40-18,4,532,59.1
05.07.2022-09-41-37,0,9405,1045.0
05.07.2022-09-41-37,3,486,54.0
05.07.2022-09-43-02,0,7685,853.9
05.07.2022-09-43-02,1,540,60.0
05.07.2022-09-43-02,2,464,51.6
05.07.2022-09-43-02,3,2280,253.3
05.07.2022-09-43-02,4,2448,272.0
05.07.2022-09-43-02,5,961,106.8
05.07.2022-09-44-10,0,27234,3026.0
05.07.2022-09-44-10,1,9207,1023.0
05.07.2022-09-44-10,2,1089,121.0
05.07.2022-09-44-10,3,600,66.7
05.07.2022-09-44-10,4,7020,780.0
05.07.2022-09-44-42,0,2346,260.7
05.07.2022-09-44-42,1,1188,132.0
05.07.2022-09-44-42,2,18228,2025.3
05.07.2022-09-45-09,0,29600,3288.9
05.07.2022-09-45-09,1,4225,469.4
05.07.2022-09-47-05,0,1675,186.1
05.07.2022-09-57-10,0,21525,2391.7
05.07.2022-09-57-10,1,6480,720.0
05.07.2022-09-57-10,2,1170,130.0
05.07.2022-09-58-48,0,44240,4915.6
05.07.2022-09-58-48,1,3597,399.7
05.07.2022-10-01-34,0,37434,4159.3
05.07.2022-10-01-34,1,16575,1841.7
05.07.2022-10-02-12,0,21508,2389.8
05.07.2022-10-02-12,1,13167,1463.0
05.07.2022-10-32-51,0,2013,223.7
05.07.2022-10-34-23,0,975,108.3
05.07.2022-10-34-23,1,1856,206.2
05.07.2022-10-34-23,2,4408,489.8
05.07.2022-10-35-16,0,4185,465.0
05.07.2022-10-35-16,1,1072,119.1
05.07.2022-10-35-16,2,1332,148.0
05.07.2022-10-35-16,3,1102,122.4
05.07.2022-10-35-16,4,10442,1160.2
05.07.2022-10-36-11,0,3528,392.0
05.07.2022-10-36-11,1,2380,264.4
05.07.2022-10-36-11,2,24570,2730.0
05.07.2022-10-39-39,1,364,40.4
05.07.2022-10-39-39,2,3492,388.0
05.07.2022-10-39-39,3,975,108.3
05.07.2022-10-42-49,0,544,60.4
05.07.2022-10-42-49,4,377,41.9
05.07.2022-10-42-49,5,3312,368.0
05.07.2022-10-42-49,6,792,88.0
05.07.2022-10-45-30,0,3458,384.2
05.07.2022-10-45-47,0,5952,661.3
05.07.2022-10-48-29,0,945,105.0
05.07.2022-10-48-29,1,20787,2309.7
05.07.2022-10-48-53,0,10680,1186.7
05.07.2022-10-48-53,1,465,51.7
05.07.2022-10-49-56,0,384,42.7
05.07.2022-10-49-56,1,6552,728.0
05.07.2022-11-12-43,0,3212,356.9
05.07.2022-11-12-43,1,2046,227.3
05.07.2022-11-12-43,2,11346,1260.7
05.07.2022-11-12-43,3,2166,240.7
05.07.2022-11-12-43,4,13398,1488.7
05.07.2022-11-13-46,0,6016,668.4
05.07.2022-11-13-46,1,1380,153.3
05.07.2022-11-13-46,4,14240,1582.2
05.07.2022-11-20-19,0,3910,434.4
05.07.2022-11-20-19,1,468,52.0
05.07.2022-11-21-38,0,4290,476.7
05.07.2022-11-22-36,0,2960,328.9
05.07.2022-13-51-18,0,3360,373.3
05.07.2022-13-51-18,1,602,66.9
05.07.2022-13-53-06,0,11220,1246.7
05.07.2022-13-54-27,0,4515,501.7
05.07.2022-13-54-27,1,720,80.0
05.07.2022-13-57-00,0,30720,3413.3
05.07.2022-13-57-22,0,4800,533.3
05.07.2022-14-00-56,1,720,80.0
05.07.2022-14-00-56,4,374,41.6
05.07.2022-14-00-56,7,380,42.2
05.07.2022-14-00-56,8,20320,2257.8
05.07.2022-14-07-55,0,12432,1381.3
05.07.2022-14-09-02,0,7980,886.7
05.07.2022-14-09-27,0,2040,226.7
05.07.2022-14-09-46,0,2470,274.4
05.07.2022-14-10-43,0,8131,903.4
05.07.2022-14-12-44,0,15600,1733.3
05.07.2022-14-14-30,0,28392,3154.7
05.07.2022-14-49-01,0,648,72.0
05.07.2022-14-49-01,1,375,41.7
05.07.2022-14-49-01,2,352,39.1
05.07.2022-14-50-11,0,1012,112.4
05.07.2022-14-50-11,1,836,92.9
05.07.2022-14-50-11,2,1260,140.0
05.07.2022-14-52-18,0,12730,1414.4
05.07.2022-14-52-18,1,4464,496.0
05.07.2022-14-52-18,2,1325,147.2
05.07.2022-14-52-18,3,1715,190.6
05.07.2022-14-52-18,4,1364,151.6
05.07.2022-14-52-18,5,1248,138.7
05.07.2022-14-53-20,0,620,68.9
05.07.2022-14-53-20,1,690,76.7
05.07.2022-14-53-20,2,3040,337.8
05.07.2022-14-53-20,3,5104,567.1
05.07.2022-14-53-20,4,680,75.6
05.07.2022-14-53-20,5,680,75.6
05.07.2022-14-55-25,0,432,48.0
05.07.2022-14-55-25,1,1800,200.0
05.07.2022-15-02-20,0,780,86.7
05.07.2022-15-02-20,2,512,56.9
05.07.2022-15-04-20,2,3640,404.4
05.07.2022-15-04-20,3,1197,133.0
05.07.2022-15-05-57,0,14405,1600.6
05.07.2022-15-05-57,1,4477,497.4
05.07.2022-15-05-57,2,680,75.6
05.07.2022-15-05-57,3,672,74.7
05.07.2022-15-05-57,4,752,83.6
05.07.2022-15-05-57,5,464,51.6
05.07.2022-15-05-57,6,357,39.7
05.07.2022-15-06-42,0,682,75.8
05.07.2022-15-06-42,1,8512,945.8
05.07.2022-15-11-37,0,2925,325.0
05.07.2022-15-11-37,1,600,66.7
05.07.2022-15-11-37,2,594,66.0
05.07.2022-15-12-00,0,3456,384.0
05.07.2022-15-12-00,1,814,90.4
05.07.2022-15-12-00,2,496,55.1
05.07.2022-15-12-54,0,3864,429.3
05.07.2022-15-12-54,1,1144,127.1
05.07.2022-15-12-54,2,968,107.6
05.07.2022-15-17-30,0,2214,246.0
05.07.2022-15-17-59,0,5940,660.0
05.07.2022-15-28-29,0,5656,628.4
05.07.2022-15-28-44,0,10500,1166.7
05.07.2022-16-08-11,0,1560,173.3
05.07.2022-16-08-34,0,2904,322.7
05.07.2022-16-09-13,0,11766,1307.3
05.07.2022-16-10-29,0,754,83.8
05.07.2022-16-10-29,1,1472,163.6
05.07.2022-16-10-58,0,702,78.0
05.07.2022-16-10-58,1,1440,160.0
05.07.2022-16-11-27,0,3672,408.0
05.07.2022-16-11-27,1,5049,561.0
07.04.2022-09-48-09,0,8280,920.0
07.04.2022-09-48-09,1,6996,777.3
07.04.2022-10-33-09,0,5412,601.3
07.04.2022-10-33-09,1,49657,5517.4
07.04.2022-10-53-11,0,20988,2332.0
07.04.2022-10-53-11,1,11592,1288.0
07.04.2022-10-53-11,2,7560,840.0
07.04.2022-10-53-11,3,13840,1537.8
07.04.2022-10-53-11,4,10080,1120.0
07.04.2022-10-53-11,5,10465,1162.8
07.04.2022-10-53-11,6,5822,646.9
07.04.2022-10-53-11,7,11564,1284.9
07.04.2022-10-55-17,0,39130,4347.8
07.04.2022-10-55-17,1,3652,405.8
07.04.2022-10-55-17,2,3116,346.2
07.04.2022-10-57-41,0,5610,623.3
07.04.2022-10-58-46,0,2079,231.0
07.04.2022-10-59-14,0,4240,471.1
07.04.2022-11-01-27,1,32600,3622.2
07.04.2022-11-01-27,2,33824,3758.2
07.04.2022-11-02-16,0,1833,203.7
07.04.2022-11-02-16,1,648,72.0
07.04.2022-11-03-11,0,15444,1716.0
07.04.2022-11-05-07,0,5658,628.7
07.04.2022-11-05-55,0,7303,811.4
07.04.2022-11-05-55,1,10080,1120.0
07.04.2022-11-06-37,0,2698,299.8
07.04.2022-11-07-29,0,17391,1932.3
07.04.2022-11-09-43,0,1421,157.9
07.04.2022-11-09-43,1,5616,624.0
07.04.2022-11-12-42,0,2795,310.6
07.04.2022-11-14-58,0,3042,338.0
07.04.2022-11-14-58,1,8601,955.7
07.04.2022-11-16-28,0,2652,294.7
07.04.2022-11-17-25,0,4420,491.1
07.04.2022-11-23-35,0,44274,4919.3
07.04.2022-11-24-06,0,9657,1073.0
07.04.2022-11-25-20,0,46965,5218.3
07.04.2022-13-42-10,0,3783,420.3
07.04.2022-13-44-43,0,13932,1548.0
07.04.2022-13-44-43,1,13261,1473.4
07.04.2022-13-44-43,2,20068,2229.8
07.04.2022-13-44-43,3,16116,1790.7
07.04.2022-13-46-12,0,33088,3676.4
07.04.2022-13-46-12,1,11088,1232.0
07.04.2022-13-47-55,0,22300,2477.8
07.04.2022-13-47-55,1,26578,2953.1
07.04.2022-13-48-50,1,6800,755.6
07.04.2022-13-48-50,2,22372,2485.8
07.04.2022-13-49-59,0,21648,2405.3
07.04.2022-13-49-59,1,48169,5352.1
07.04.2022-13-52-11,0,21828,2425.3
07.04.2022-13-58-11,0,6042,671.3
07.04.2022-14-05-54,0,3726,414.0
07.04.2022-14-11-44,0,14950,1661.1
07.04.2022-14-17-03,0,20252,2250.2
07.04.2022-14-17-41,0,5000,555.6
07.04.2022-14-20-47,0,2883,320.3
07.04.2022-14-44-43,0,8580,953.3
07.04.2022-14-45-15,0,12496,1388.4
07.04.2022-14-45-57,0,2232,248.0
07.04.2022-14-47-00,0,2442,271.3
07.04.2022-14-47-37,0,5145,571.7
07.04.2022-14-47-47,0,4851,539.0
07.04.2022-14-49-26,0,8820,980.0
07.04.2022-14-49-26,1,31110,3456.7
07.04.2022-14-50-45,0,29106,3234.0
07.04.2022-15-20-32,0,2706,300.7
07.04.2022-15-20-46,0,3936,437.3
07.04.2022-15-22-21,0,2232,248.0
07.04.2022-15-25-15,0,14100,1566.7
07.04.2022-15-25-15,1,17982,1998.0
07.04.2022-15-25-15,2,35046,3894.0
07.04.2022-15-25-15,3,22800,2533.3
07.04.2022-15-25-15,4,24752,2750.2
07.04.2022-15-25-15,5,11424,1269.3
07.04.2022-15-27-51,0,10918,1213.1
07.04.2022-15-27-51,1,11880,1320.0
07.04.2022-15-27-51,2,2120,235.6
07.04.2022-15-43-37,0,24016,2668.4
07.04.2022-15-47-27,0,759,84.3
07.04.2022-15-47-27,1,612,68.0
07.04.2022-15-48-52,0,1968,218.7
07.04.2022-16-02-10,0,4845,538.3
07.04.2022-16-04-20,0,6555,728.3
07.04.2022-16-05-33,0,1300,144.4
07.04.2022-16-05-33,1,760,84.4
07.04.2022-16-05-33,2,875,97.2
07.04.2022-16-05-33,3,459,51.0
07.04.2022-16-07-03,0,1683,187.0
07.04.2022-16-07-03,1,768,85.3
07.04.2022-16-07-03,2,464,51.6
07.04.2022-16-08-34,0,414,46.0
07.04.2022-16-08-34,1,814,90.4
07.04.2022-16-08-34,2,2573,285.9
07.04.2022-16-10-15,0,48720,5413.3
07.04.2022-16-10-15,1,1656,184.0
07.04.2022-16-10-15,2,5148,572.0
07.04.2022-16-15-50,0,16878,1875.3
07.04.2022-16-15-50,1,19224,2136.0
07.04.2022-16-15-50,2,820,91.1
07.04.2022-16-15-50,3,1375,152.8
07.04.2022-16-15-50,4,1701,189.0
07.04.2022-16-16-37,0,4590,510.0
07.04.2022-16-16-37,1,693,77.0
07.04.2022-16-18-37,0,1624,180.4
07.04.2022-16-18-37,1,2208,245.3
07.04.2022-16-18-37,2,3822,424.7
07.07.2022-08-54-15,0,25728,2858.7
07.07.2022-08-55-03,0,4708,523.1
07.07.2022-09-26-33,0,14065,1562.8
07.07.2022-09-26-33,1,28314,3146.0
07.07.2022-09-26-33,2,18067,2007.4
07.07.2022-09-26-33,3,23400,2600.0
07.07.2022-09-28-06,0,34932,3881.3
07.07.2022-09-38-49,0,4095,455.0
07.07.2022-09-39-44,0,14336,1592.9
07.07.2022-09-40-32,0,28864,3207.1
07.07.2022-09-53-03,0,9840,1093.3
07.07.2022-09-53-03,1,910,101.1
07.07.2022-09-53-03,2,7238,804.2
07.07.2022-09-53-03,3,13320,1480.0
07.07.2022-09-53-03,4,11468,1274.2
07.07.2022-09-53-03,5,5896,655.1
07.07.2022-09-53-03,6,1176,130.7
07.07.2022-09-53-03,7,475,52.8
07.07.2022-09-53-03,9,9246,1027.3
07.07.2022-09-54-54,0,34960,3884.4
07.07.2022-09-54-54,1,609,67.7
07.07.2022-09-54-54,2,660,73.3
07.07.2022-09-54-54,4,594,66.0
07.07.2022-09-54-54,5,456,50.7
07.07.2022-09-54-54,6,962,106.9
07.07.2022-09-54-54,7,5700,633.3
07.07.2022-09-54-54,8,12288,1365.3
07.07.2022-09-54-54,9,9718,1079.8
07.07.2022-09-54-54,10,6072,674.7
07.07.2022-09-54-54,11,8320,924.4
07.07.2022-09-56-49,0,19594,2177.1
07.07.2022-09-56-49,1,738,82.0
07.07.2022-09-56-49,4,550,61.1
07.07.2022-09-56-49,5,12880,1431.1
07.07.2022-09-56-49,6,20566,2285.1
07.07.2022-09-56-49,7,21546,2394.0
07.07.2022-09-56-49,8,10168,1129.8
07.07.2022-09-56-49,9,1394,154.9
07.07.2022-09-59-33,0,7208,800.9
07.07.2022-09-59-33,1,572,63.6
07.07.2022-10-00-04,0,11440,1271.1
07.07.2022-10-00-04,1,690,76.7
07.07.2022-10-26-42,0,1863,207.0
07.07.2022-10-26-42,1,6724,747.1
07.07.2022-10-26-42,2,1806,200.7
07.07.2022-10-26-42,3,1025,113.9
07.07.2022-10-26-42,4,1292,143.6
07.07.2022-10-26-42,5,1386,154.0
07.07.2022-10-26-42,6,754,83.8
07.07.2022-10-26-42,7,529,58.8
07.07.2022-10-30-43,0,1026,114.0
07.07.2022-10-30-43,1,19760,2195.6
07.07.2022-10-30-43,2,1364,151.6
07.07.2022-10-31-59,0,728,80.9
07.07.2022-10-31-59,1,2160,240.0
07.07.2022-10-31-59,2,391,43.4
07.07.2022-10-33-08,0,1692,188.0
07.07.2022-10-33-08,1,1564,173.8
07.07.2022-10-33-37,0,7395,821.7
07.07.2022-10-34-54,0,4402,489.1
07.07.2022-10-35-06,0,10324,1147.1
07.07.2022-10-35-34,0,1485,165.0
07.07.2022-10-35-34,1,448,49.8
07.07.2022-10-35-34,2,500,55.6
07.07.2022-10-44-08,0,10927,1214.1
07.07.2022-10-44-52,0,2058,228.7
07.07.2022-10-44-52,1,10863,1207.0
07.07.2022-10-44-52,2,897,99.7
07.07.2022-10-46-32,0,16348,1816.4
07.07.2022-10-46-32,1,3468,385.3
07.07.2022-10-46-32,2,1750,194.4
07.07.2022-10-50-56,0,2457,273.0
07.07.2022-10-51-40,0,759,84.3
08.04.2022-09-12-28,0,4264,473.8
08.04.2022-09-12-28,1,11373,1263.7
08.04.2022-09-12-28,2,810,90.0
08.04.2022-09-12-28,3,540,60.0
08.04.2022-09-12-28,4,1320,146.7
08.04.2022-09-13-33,0,29716,3301.8
08.04.2022-09-13-33,1,450,50.0
08.04.2022-09-17-41,0,1320,146.7
08.04.2022-09-17-41,1,450,50.0
08.04.2022-09-17-41,2,1148,127.6
08.04.2022-09-17-41,3,595,66.1
08.04.2022-09-17-41,4,1550,172.2
08.04.2022-09-17-41,5,500,55.6
08.04.2022-09-17-41,6,713,79.2
08.04.2022-09-21-56,3,12198,1355.3
08.04.2022-09-22-44,1,520,57.8
08.04.2022-09-22-44,2,925,102.8
08.04.2022-09-22-44,3,1148,127.6
08.04.2022-09-25-30,0,2268,252.0
08.04.2022-09-25-30,1,5520,613.3
08.04.2022-09-25-30,2,2948,327.6
08.04.2022-09-25-30,3,1395,155.0
08.04.2022-09-25-30,4,341,37.9
08.04.2022-09-26-55,0,3266,362.9
08.04.2022-09-26-55,1,1403,155.9
08.04.2022-09-26-55,2,1608,178.7
08.04.2022-09-28-19,0,988,109.8
